Thu May 15 19:54:47 2025    /Users/nicole.r.frank/Breast-Cancer-Classification---SE489/reports/profiling/run.prof

         1410713 function calls (1379404 primitive calls) in 1.386 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 readers.py:1(<module>)
       68    0.000    0.000    0.005    0.000 inspect.py:844(getdoc)
      156    0.005    0.000    0.005    0.000 {built-in method posix.listdir}
      117    0.000    0.000    0.005    0.000 _optimize.py:78(__call__)
        1    0.000    0.000    0.005    0.005 loss.py:1(<module>)
        1    0.000    0.000    0.005    0.005 jupyter.py:1(<module>)
        3    0.000    0.000    0.005    0.002 accessor.py:1(<module>)
      117    0.000    0.000    0.005    0.000 _differentiable_functions.py:341(fun_and_grad)
     3801    0.003    0.000    0.005    0.000 inspect.py:2669(__init__)
        1    0.000    0.000    0.005    0.005 rules.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _rotation_groups.py:1(<module>)
   124397    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
        3    0.000    0.000    0.005    0.002 process.py:1(<module>)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
        1    0.000    0.000    0.005    0.005 segment.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _resampling.py:1(<module>)
        5    0.000    0.000    0.005    0.001 {built-in method builtins.print}
     2785    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        2    0.000    0.000    0.005    0.002 executor.py:1(<module>)
        1    0.000    0.000    0.005    0.005 frame.py:1204(__repr__)
      117    0.001    0.000    0.005    0.000 _linear_loss.py:266(loss_gradient)
        2    0.000    0.000    0.005    0.002 _helper.py:1(<module>)
        1    0.000    0.000    0.005    0.005 frame.py:1310(to_string)
       43    0.000    0.000    0.005    0.000 multiclass.py:229(type_of_target)
26921/26799    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
      757    0.004    0.000    0.005    0.000 _compiler.py:243(_optimize_charset)
        1    0.000    0.000    0.005    0.005 _target_encoder.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _optimize.py:1(<module>)
       11    0.000    0.000    0.005    0.000 base.py:7770(get_values_for_csv)
        8    0.000    0.000    0.005    0.001 managers.py:317(apply)
        3    0.000    0.000    0.005    0.002 frame.py:1400(_get_values_for_csv)
        1    0.000    0.000    0.005    0.005 format.py:939(to_string)
