Thu May 15 19:49:52 2025    /Users/nicole.r.frank/Breast-Cancer-Classification---SE489/reports/profiling/train.prof

         1350575 function calls (1320336 primitive calls) in 1.430 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1587    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:169(__enter__)
      234    0.000    0.000    0.006    0.000 _optimize.py:71(_compute_if_needed)
      118    0.000    0.000    0.006    0.000 _differentiable_functions.py:293(_update_fun)
        2    0.000    0.000    0.006    0.003 _adapters.py:1(<module>)
        1    0.000    0.000    0.006    0.006 shutil.py:1(<module>)
        4    0.000    0.000    0.006    0.002 _docscrape.py:626(__init__)
     1483    0.003    0.000    0.006    0.000 _docscrape.py:168(_is_at_section)
      117    0.000    0.000    0.006    0.000 _differentiable_functions.py:16(wrapped)
        1    0.000    0.000    0.006    0.006 constrain.py:1(<module>)
      117    0.000    0.000    0.006    0.000 _optimize.py:78(__call__)
        1    0.000    0.000    0.006    0.006 readers.py:1(<module>)
      924    0.001    0.000    0.006    0.000 __init__.py:178(sub)
126269/123626    0.006    0.000    0.006    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.006    0.003 dtypes.py:1(<module>)
33920/33426    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
        4    0.000    0.000    0.006    0.001 ssl.py:461(__new__)
        4    0.006    0.001    0.006    0.001 {built-in method _ssl.txt2obj}
     1789    0.003    0.000    0.006    0.000 typing.py:168(_type_check)
      660    0.000    0.000    0.006    0.000 _docscrape.py:573(dedent_lines)
        1    0.000    0.000    0.006    0.006 _rotation_groups.py:1(<module>)
       70    0.000    0.000    0.006    0.000 _param_validation.py:185(wrapper)
      346    0.006    0.000    0.006    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.006    0.006 jupyter.py:1(<module>)
       69    0.000    0.000    0.006    0.000 inspect.py:844(getdoc)
        1    0.000    0.000    0.006    0.006 socket.py:1(<module>)
        3    0.000    0.000    0.006    0.002 accessor.py:1(<module>)
      117    0.001    0.000    0.006    0.000 _linear_loss.py:266(loss_gradient)
       21    0.000    0.000    0.005    0.000 _distn_infrastructure.py:3353(_construct_docstrings)
        1    0.000    0.000    0.005    0.005 loss.py:1(<module>)
     3800    0.003    0.000    0.005    0.000 inspect.py:2669(__init__)
      117    0.000    0.000    0.005    0.000 _differentiable_functions.py:341(fun_and_grad)
    10527    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.005    0.005 segment.py:1(<module>)
        1    0.000    0.000    0.005    0.005 message.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _optimize.py:1(<module>)
        2    0.000    0.000    0.005    0.003 executor.py:1(<module>)
        3    0.000    0.000    0.005    0.002 ops.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _show_versions.py:1(<module>)
   124090    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.005    0.003 resource_tracker.py:1(<module>)
        1    0.000    0.000    0.005    0.005 lapack.py:1(<module>)
        1    0.000    0.000    0.005    0.005 rules.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _resampling.py:1(<module>)
        1    0.000    0.000    0.005    0.005 take.py:1(<module>)
      755    0.004    0.000    0.005    0.000 _compiler.py:243(_optimize_charset)
        1    0.000    0.000    0.005    0.005 parser_block.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _memmapping_reducer.py:1(<module>)
        1    0.000    0.000    0.005    0.005 dataset.py:14(load_data)
     9536    0.005    0.000    0.005    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.005    0.005 readers.py:868(read_csv)
    26714    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.005    0.005 _least_angle.py:1(<module>)
        2    0.000    0.000    0.005    0.002 _internal.py:1(<module>)
        1    0.000    0.000    0.005    0.005 hmac.py:1(<module>)
