Thu May 15 19:52:35 2025    /Users/nicole.r.frank/Breast-Cancer-Classification---SE489/reports/profiling/dataset.prof

         497747 function calls (485104 primitive calls) in 0.507 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.000    0.000    0.002    0.000 inspect.py:3261(signature)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
       32    0.000    0.000    0.001    0.000 inspect.py:3007(from_callable)
      127    0.001    0.000    0.001    0.000 enum.py:242(__set_name__)
21386/20195    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 __init__.py:336(Version)
    48/32    0.000    0.000    0.001    0.000 inspect.py:2435(_signature_from_callable)
      760    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
     1671    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
        1    0.000    0.000    0.001    0.001 array_manager.py:1(<module>)
 1200/350    0.001    0.000    0.001    0.000 _parser.py:178(getwidth)
        2    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
        1    0.000    0.000    0.001    0.001 accessor.py:157(StringMethods)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
      230    0.000    0.000    0.001    0.000 overrides.py:83(verify_matching_signatures)
        1    0.000    0.000    0.001    0.001 pretty.py:1(<module>)
        1    0.000    0.000    0.001    0.001 staggered.py:1(<module>)
        1    0.000    0.000    0.001    0.001 shape_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _ratio.py:1(<module>)
      662    0.001    0.000    0.001    0.000 typing.py:1731(__hash__)
        1    0.000    0.000    0.001    0.001 configparser.py:1(<module>)
        1    0.000    0.000    0.001    0.001 html_inline.py:1(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
     8463    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     1626    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.001    0.001 csv.py:1(<module>)
      185    0.000    0.000    0.001    0.000 typing.py:1641(__getitem__)
       82    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1411(_path_hooks)
      6/4    0.000    0.000    0.001    0.000 series.py:389(__init__)
      523    0.000    0.000    0.001    0.000 typing.py:306(_deduplicate)
        1    0.000    0.000    0.001    0.001 rolling.py:1(<module>)
      284    0.001    0.000    0.001    0.000 sysconfig.py:244(_subst_vars)
      799    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.001    0.001 numerictypes.py:1(<module>)
